Section,TradeValue,Year
Machines,61679686783,2021
Transportation,39015422706,2021
Mineral Products,27435952095,2021
Chemical Products,24424364547,2021
Metals,15174524241,2021
Textiles,11998684457,2021
Plastics and Rubbers,11654051330,2021
Foodstuffs,10700988197,2021
Miscellaneous,10456493963,2021
Instruments,9611098120,2021
Others,28638680975,2021
