"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",7231795
"af","Africa","afbdi","Burundi","bdi",561760
"af","Africa","afben","Benin","ben",3530170
"af","Africa","afbfa","Burkina Faso","bfa",21000425
"af","Africa","afbwa","Botswana","bwa",6851170
"af","Africa","afcaf","Central African Republic","caf",938108
"af","Africa","afciv","Cote d'Ivoire","civ",33263872
"af","Africa","afcmr","Cameroon","cmr",8761471
"af","Africa","afcod","Democratic Republic of the Congo","cod",71872519
"af","Africa","afcog","Republic of the Congo","cog",1895209
"af","Africa","afcom","Comoros","com",6087
"af","Africa","afcpv","Cape Verde","cpv",331515
"af","Africa","afdji","Djibouti","dji",2930295
"af","Africa","afdza","Algeria","dza",16146784
"af","Africa","afegy","Egypt","egy",369765297
"af","Africa","aferi","Eritrea","eri",1233519
"af","Africa","afeth","Ethiopia","eth",14236908
"af","Africa","afgab","Gabon","gab",1167638
"af","Africa","afgha","Ghana","gha",111964971
"af","Africa","afgin","Guinea","gin",5774413
"af","Africa","afgmb","Gambia","gmb",42629
"af","Africa","afgnb","Guinea-Bissau","gnb",220244.99999999997
"af","Africa","afgnq","Equatorial Guinea","gnq",48031
"af","Africa","afken","Kenya","ken",54212287
"af","Africa","aflbr","Liberia","lbr",873588
"af","Africa","aflby","Libya","lby",1605451
"af","Africa","aflso","Lesotho","lso",1079200
"af","Africa","afmar","Morocco","mar",34562105
"af","Africa","afmdg","Madagascar","mdg",9743468
"af","Africa","afmli","Mali","mli",24940236
"af","Africa","afmoz","Mozambique","moz",340947287
"af","Africa","afmrt","Mauritania","mrt",9345952
"af","Africa","afmus","Mauritius","mus",84753104
"af","Africa","afmwi","Malawi","mwi",24978343
"af","Africa","afnam","Namibia","nam",17816483
"af","Africa","afner","Niger","ner",2271483
"af","Africa","afnga","Nigeria","nga",256485115
"af","Africa","afrwa","Rwanda","rwa",2784270
"af","Africa","afsdn","Sudan","sdn",37231992
"af","Africa","afsen","Senegal","sen",18014270
"af","Africa","afshn","Saint Helena","shn",414987
"af","Africa","afsle","Sierra Leone","sle",2474748
"af","Africa","afsom","Somalia","som",463595
"af","Africa","afssd","South Sudan","ssd",165961
"af","Africa","afstp","Sao Tome and Principe","stp",23
"af","Africa","afswz","Eswatini","swz",1111680
"af","Africa","afsyc","Seychelles","syc",8027197
"af","Africa","aftcd","Chad","tcd",1143069
"af","Africa","aftgo","Togo","tgo",3384704
"af","Africa","aftun","Tunisia","tun",13119670
"af","Africa","aftza","Tanzania","tza",69660539
"af","Africa","afuga","Uganda","uga",5635052
"af","Africa","afzaf","South Africa","zaf",817286512
"af","Africa","afzmb","Zambia","zmb",39561173
"af","Africa","afzwe","Zimbabwe","zwe",9274507
"as","Asia","asafg","Afghanistan","afg",13935082
"as","Asia","asare","United Arab Emirates","are",2218496455
"as","Asia","asarm","Armenia","arm",2700716
"as","Asia","asaze","Azerbaijan","aze",7723283
"as","Asia","asbgd","Bangladesh","bgd",611950706
"as","Asia","asbhr","Bahrain","bhr",545328685
"as","Asia","asbrn","Brunei","brn",40374773
"as","Asia","asbtn","Bhutan","btn",67030
"as","Asia","ascck","Cocos (Keeling) Islands","cck",4840301
"as","Asia","aschn","China","chn",66943159392
"as","Asia","ascxr","Christmas Island","cxr",20306920
"as","Asia","ascyp","Cyprus","cyp",3569732
"as","Asia","asgeo","Georgia","geo",2762015
"as","Asia","ashkg","Hong Kong","hkg",7024691582
"as","Asia","asidn","Indonesia","idn",4671637317
"as","Asia","asind","India","ind",12508378490
"as","Asia","asirn","Iran","irn",89209716
"as","Asia","asirq","Iraq","irq",26336487
"as","Asia","asisr","Israel","isr",213379302
"as","Asia","asjor","Jordan","jor",146633741
"as","Asia","asjpn","Japan","jpn",28310488182
"as","Asia","askaz","Kazakhstan","kaz",25622876
"as","Asia","askgz","Kyrgyzstan","kgz",2283384
"as","Asia","askhm","Cambodia","khm",41552380
"as","Asia","askor","South Korea","kor",14184595665
"as","Asia","askwt","Kuwait","kwt",490096649
"as","Asia","aslao","Laos","lao",16431994
"as","Asia","aslbn","Lebanon","lbn",38673782
"as","Asia","aslka","Sri Lanka","lka",194424473
"as","Asia","asmac","Macau","mac",87033848
"as","Asia","asmdv","Maldives","mdv",35070330
"as","Asia","asmmr","Burma","mmr",206520778
"as","Asia","asmng","Mongolia","mng",22146263
"as","Asia","asmys","Malaysia","mys",4437384574
"as","Asia","asnpl","Nepal","npl",42099377
"as","Asia","asomn","Oman","omn",316934230
"as","Asia","aspak","Pakistan","pak",502953668
"as","Asia","asphl","Philippines","phl",1555056148
"as","Asia","aspse","Palestine","pse",5444208
"as","Asia","asqat","Qatar","qat",489095570
"as","Asia","assau","Saudi Arabia","sau",1241374657
"as","Asia","assgp","Singapore","sgp",4170692586
"as","Asia","assyr","Syria","syr",424357
"as","Asia","astha","Thailand","tha",3049366560
"as","Asia","astjk","Tajikistan","tjk",221746
"as","Asia","astkm","Turkmenistan","tkm",981767.9999999999
"as","Asia","astls","Timor-Leste","tls",25091892
"as","Asia","astur","Turkey","tur",703977515
"as","Asia","asuzb","Uzbekistan","uzb",127952
"as","Asia","asvnm","Vietnam","vnm",2942856086
"as","Asia","asxxb","Chinese Taipei",,5674590716
"as","Asia","asyem","Yemen","yem",188653989.99999997
"eu","Europe","eualb","Albania","alb",1826592
"eu","Europe","euand","Andorra","and",55224
"eu","Europe","euaut","Austria","aut",115885186
"eu","Europe","eubel","Belgium","bel",616013555
"eu","Europe","eubgr","Bulgaria","bgr",41176004
"eu","Europe","eubih","Bosnia and Herzegovina","bih",26265794.000000004
"eu","Europe","eublr","Belarus","blr",13310918
"eu","Europe","euche","Switzerland","che",1484081171
"eu","Europe","eucze","Czechia","cze",141741101
"eu","Europe","eudeu","Germany","deu",1766239060
"eu","Europe","eudnk","Denmark","dnk",119267234
"eu","Europe","euesp","Spain","esp",522037134
"eu","Europe","euest","Estonia","est",8979617
"eu","Europe","eufin","Finland","fin",89417484
"eu","Europe","eufra","France","fra",1008755358
"eu","Europe","eugbr","United Kingdom","gbr",7327036559
"eu","Europe","eugib","Gibraltar","gib",21384
"eu","Europe","eugrc","Greece","grc",14320911
"eu","Europe","euhrv","Croatia","hrv",11974317
"eu","Europe","euhun","Hungary","hun",43198880
"eu","Europe","euirl","Ireland","irl",132973137
"eu","Europe","euisl","Iceland","isl",137141429
"eu","Europe","euita","Italy","ita",571025044
"eu","Europe","eultu","Lithuania","ltu",6805283
"eu","Europe","eulux","Luxembourg","lux",4406359
"eu","Europe","eulva","Latvia","lva",4320698
"eu","Europe","eumda","Moldova","mda",697571
"eu","Europe","eumkd","North Macedonia","mkd",3660699
"eu","Europe","eumlt","Malta","mlt",4883068
"eu","Europe","eumne","Montenegro","mne",323018
"eu","Europe","eunld","Netherlands","nld",1804257619
"eu","Europe","eunor","Norway","nor",79710189
