"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",13710387
"af","Africa","afbdi","Burundi","bdi",357465
"af","Africa","afben","Benin","ben",1620531
"af","Africa","afbfa","Burkina Faso","bfa",32538117
"af","Africa","afbwa","Botswana","bwa",13742953
"af","Africa","afcaf","Central African Republic","caf",33748
"af","Africa","afciv","Cote d'Ivoire","civ",18977213
"af","Africa","afcmr","Cameroon","cmr",3997714
"af","Africa","afcod","Democratic Republic of the Congo","cod",7132278
"af","Africa","afcog","Republic of the Congo","cog",6183599
"af","Africa","afcom","Comoros","com",211673
"af","Africa","afcpv","Cape Verde","cpv",12337
"af","Africa","afdji","Djibouti","dji",3720694
"af","Africa","afdza","Algeria","dza",18582648
"af","Africa","afegy","Egypt","egy",661592798
"af","Africa","aferi","Eritrea","eri",1669964
"af","Africa","afeth","Ethiopia","eth",17527557
"af","Africa","afgab","Gabon","gab",3241903
"af","Africa","afgha","Ghana","gha",210852804
"af","Africa","afgin","Guinea","gin",18414578
"af","Africa","afgmb","Gambia","gmb",157560
"af","Africa","afgnq","Equatorial Guinea","gnq",657926
"af","Africa","afken","Kenya","ken",46854311
"af","Africa","aflbr","Liberia","lbr",2355525
"af","Africa","aflby","Libya","lby",23985894
"af","Africa","aflso","Lesotho","lso",317264
"af","Africa","afmar","Morocco","mar",35795915
"af","Africa","afmdg","Madagascar","mdg",21063772
"af","Africa","afmli","Mali","mli",39711217
"af","Africa","afmoz","Mozambique","moz",56956546.00000001
"af","Africa","afmrt","Mauritania","mrt",25218516
"af","Africa","afmus","Mauritius","mus",133425170
"af","Africa","afmwi","Malawi","mwi",8855178
"af","Africa","afnam","Namibia","nam",19272928
"af","Africa","afner","Niger","ner",4545681
"af","Africa","afnga","Nigeria","nga",355942118
"af","Africa","afrwa","Rwanda","rwa",4190994.0000000005
"af","Africa","afsdn","Sudan","sdn",313414238
"af","Africa","afsen","Senegal","sen",90205957
"af","Africa","afshn","Saint Helena","shn",105862
"af","Africa","afsle","Sierra Leone","sle",10393485
"af","Africa","afsom","Somalia","som",62134
"af","Africa","afssd","South Sudan","ssd",192396
"af","Africa","afswz","Eswatini","swz",734490
"af","Africa","afsyc","Seychelles","syc",27977735
"af","Africa","aftcd","Chad","tcd",316348
"af","Africa","aftgo","Togo","tgo",3221957.9999999995
"af","Africa","aftun","Tunisia","tun",19019555
"af","Africa","aftza","Tanzania","tza",113261661
"af","Africa","afuga","Uganda","uga",4421654
"af","Africa","afzaf","South Africa","zaf",1609398485
"af","Africa","afzmb","Zambia","zmb",56310530
"af","Africa","afzwe","Zimbabwe","zwe",11580861
"as","Asia","asafg","Afghanistan","afg",8683918
"as","Asia","asare","United Arab Emirates","are",2256434709
"as","Asia","asarm","Armenia","arm",4219398
"as","Asia","asaze","Azerbaijan","aze",20230743
"as","Asia","asbgd","Bangladesh","bgd",520961595
"as","Asia","asbhr","Bahrain","bhr",456159190
"as","Asia","asbrn","Brunei","brn",47690372
"as","Asia","asbtn","Bhutan","btn",789913
"as","Asia","ascck","Cocos (Keeling) Islands","cck",14799995
"as","Asia","aschn","China","chn",75165653080
"as","Asia","ascxr","Christmas Island","cxr",36291176
"as","Asia","ascyp","Cyprus","cyp",7103918
"as","Asia","asgeo","Georgia","geo",25027155
"as","Asia","ashkg","Hong Kong","hkg",3508896731
"as","Asia","asidn","Indonesia","idn",5067640256
"as","Asia","asind","India","ind",15925150243
"as","Asia","asirn","Iran","irn",424417806.99999994
"as","Asia","asirq","Iraq","irq",170576007
"as","Asia","asisr","Israel","isr",255940635
"as","Asia","asjor","Jordan","jor",195902189
"as","Asia","asjpn","Japan","jpn",50955152456
"as","Asia","askaz","Kazakhstan","kaz",74027808
"as","Asia","askgz","Kyrgyzstan","kgz",5567545
"as","Asia","askhm","Cambodia","khm",33650998
"as","Asia","askor","South Korea","kor",21083685947
"as","Asia","askwt","Kuwait","kwt",473225610
