"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",25015462
"af","Africa","afbdi","Burundi","bdi",3556184
"af","Africa","afben","Benin","ben",2486112
"af","Africa","afbfa","Burkina Faso","bfa",17903617
"af","Africa","afbwa","Botswana","bwa",17445664
"af","Africa","afcaf","Central African Republic","caf",136921
"af","Africa","afciv","Cote d'Ivoire","civ",31348218
"af","Africa","afcmr","Cameroon","cmr",7295332
"af","Africa","afcod","Democratic Republic of the Congo","cod",19150385
"af","Africa","afcog","Republic of the Congo","cog",4811026
"af","Africa","afcom","Comoros","com",143502
"af","Africa","afcpv","Cape Verde","cpv",3272
"af","Africa","afdji","Djibouti","dji",2975793
"af","Africa","afdza","Algeria","dza",12912964
"af","Africa","afegy","Egypt","egy",481326284
"af","Africa","aferi","Eritrea","eri",1028574
"af","Africa","afeth","Ethiopia","eth",21072778
"af","Africa","afgab","Gabon","gab",3646771
"af","Africa","afgha","Ghana","gha",167726438
"af","Africa","afgin","Guinea","gin",10557564
"af","Africa","afgmb","Gambia","gmb",34185
"af","Africa","afgnq","Equatorial Guinea","gnq",76905
"af","Africa","afken","Kenya","ken",120148126
"af","Africa","aflbr","Liberia","lbr",2787208
"af","Africa","aflby","Libya","lby",11176593
"af","Africa","aflso","Lesotho","lso",42659
"af","Africa","afmar","Morocco","mar",62068144
"af","Africa","afmdg","Madagascar","mdg",18079412
"af","Africa","afmli","Mali","mli",32964933
"af","Africa","afmoz","Mozambique","moz",93316046
"af","Africa","afmrt","Mauritania","mrt",34235732
"af","Africa","afmus","Mauritius","mus",135651938
"af","Africa","afmwi","Malawi","mwi",37064152
"af","Africa","afnam","Namibia","nam",21816195
"af","Africa","afner","Niger","ner",2442981
"af","Africa","afnga","Nigeria","nga",178614888
"af","Africa","afrwa","Rwanda","rwa",17667069
"af","Africa","afsdn","Sudan","sdn",571596540
"af","Africa","afsen","Senegal","sen",64403950
"af","Africa","afshn","Saint Helena","shn",172325
"af","Africa","afsle","Sierra Leone","sle",6936466
"af","Africa","afsom","Somalia","som",126284
"af","Africa","afssd","South Sudan","ssd",174956
"af","Africa","afstp","Sao Tome and Principe","stp",101329
"af","Africa","afswz","Eswatini","swz",773036
"af","Africa","afsyc","Seychelles","syc",32429421
"af","Africa","aftcd","Chad","tcd",2337456
"af","Africa","aftgo","Togo","tgo",3845254
"af","Africa","aftun","Tunisia","tun",9522023
"af","Africa","aftza","Tanzania","tza",149273888
"af","Africa","afuga","Uganda","uga",25514569
"af","Africa","afzaf","South Africa","zaf",1415330360
"af","Africa","afzmb","Zambia","zmb",63191806
"af","Africa","afzwe","Zimbabwe","zwe",32360784.999999996
"as","Asia","asafg","Afghanistan","afg",6560742
"as","Asia","asare","United Arab Emirates","are",2554743718
"as","Asia","asarm","Armenia","arm",8496071
"as","Asia","asaze","Azerbaijan","aze",15811833
"as","Asia","asbgd","Bangladesh","bgd",566346060
"as","Asia","asbhr","Bahrain","bhr",416895913
"as","Asia","asbrn","Brunei","brn",53118653
"as","Asia","asbtn","Bhutan","btn",159905.99999999997
"as","Asia","ascck","Cocos (Keeling) Islands","cck",4557402
"as","Asia","aschn","China","chn",90462961515
"as","Asia","ascxr","Christmas Island","cxr",38466270
"as","Asia","ascyp","Cyprus","cyp",5526605
"as","Asia","asgeo","Georgia","geo",32851780
"as","Asia","ashkg","Hong Kong","hkg",10439899330
"as","Asia","asidn","Indonesia","idn",4915713013
"as","Asia","asind","India","ind",12628301373
"as","Asia","asirn","Iran","irn",285798011
"as","Asia","asirq","Iraq","irq",575465341
"as","Asia","asisr","Israel","isr",224480321
"as","Asia","asjor","Jordan","jor",205595743
"as","Asia","asjpn","Japan","jpn",46688650329
"as","Asia","askaz","Kazakhstan","kaz",92395124
"as","Asia","askgz","Kyrgyzstan","kgz",2913735
"as","Asia","askhm","Cambodia","khm",33973710
"as","Asia","askor","South Korea","kor",19704852203
"as","Asia","askwt","Kuwait","kwt",550442885
"as","Asia","aslao","Laos","lao",35011625
"as","Asia","aslbn","Lebanon","lbn",55084472
"as","Asia","aslka","Sri Lanka","lka",213491823
"as","Asia","asmac","Macau","mac",49849625
"as","Asia","asmdv","Maldives","mdv",34119745
"as","Asia","asmmr","Burma","mmr",169391920
"as","Asia","asmng","Mongolia","mng",38047441
"as","Asia","asmys","Malaysia","mys",6154426914
"as","Asia","asnpl","Nepal","npl",21091228
"as","Asia","asomn","Oman","omn",324143391
"as","Asia","aspak","Pakistan","pak",456959612
"as","Asia","asphl","Philippines","phl",1340932834
"as","Asia","aspse","Palestine","pse",4834924
"as","Asia","asqat","Qatar","qat",564291540
"as","Asia","assau","Saudi Arabia","sau",2018240741
"as","Asia","assgp","Singapore","sgp",5203991827
"as","Asia","assyr","Syria","syr",415292
"as","Asia","astha","Thailand","tha",5131309159
"as","Asia","astjk","Tajikistan","tjk",671518
"as","Asia","astkm","Turkmenistan","tkm",920385
"as","Asia","astls","Timor-Leste","tls",22745404
"as","Asia","astur","Turkey","tur",1831756890
"as","Asia","asuzb","Uzbekistan","uzb",2585989
"as","Asia","asvnm","Vietnam","vnm",2119280229
"as","Asia","asxxb","Chinese Taipei",,7324216513
"as","Asia","asyem","Yemen","yem",561471865
"eu","Europe","eualb","Albania","alb",3103299
"eu","Europe","euand","Andorra","and",275543
"eu","Europe","euaut","Austria","aut",91233075
"eu","Europe","eubel","Belgium","bel",1100443346
"eu","Europe","eubgr","Bulgaria","bgr",170676334
"eu","Europe","eubih","Bosnia and Herzegovina","bih",11417494
"eu","Europe","eublr","Belarus","blr",4844843
"eu","Europe","euche","Switzerland","che",804053321
"eu","Europe","eucze","Czechia","cze",158568180
"eu","Europe","eudeu","Germany","deu",1901947455
"eu","Europe","eudnk","Denmark","dnk",177306097
"eu","Europe","euesp","Spain","esp",525150059
"eu","Europe","euest","Estonia","est",7994792
"eu","Europe","eufin","Finland","fin",136803304
"eu","Europe","eufra","France","fra",1425438422
"eu","Europe","eugbr","United Kingdom","gbr",3728053759
"eu","Europe","eugib","Gibraltar","gib",1014354.9999999999
"eu","Europe","eugrc","Greece","grc",12268364
"eu","Europe","euhrv","Croatia","hrv",2209476
"eu","Europe","euhun","Hungary","hun",38858685
"eu","Europe","euirl","Ireland","irl",91469213
"eu","Europe","euisl","Iceland","isl",3244026
"eu","Europe","euita","Italy","ita",820276277
"eu","Europe","eultu","Lithuania","ltu",6176909
"eu","Europe","eulux","Luxembourg","lux",12431599
"eu","Europe","eulva","Latvia","lva",13178287
"eu","Europe","eumda","Moldova","mda",2133155
"eu","Europe","eumkd","North Macedonia","mkd",2023864
"eu","Europe","eumlt","Malta","mlt",16805652
"eu","Europe","eumne","Montenegro","mne",183721
"eu","Europe","eunld","Netherlands","nld",1833024308
"eu","Europe","eunor","Norway","nor",138351554
"eu","Europe","eupol","Poland","pol",263059159
"eu","Europe","euprt","Portugal","prt",24999790
"eu","Europe","eurou","Romania","rou",26322674
"eu","Europe","eurus","Russia","rus",801171322
"eu","Europe","eusrb","Serbia","srb",8567335
"eu","Europe","eusvk","Slovakia","svk",43175710
"eu","Europe","eusvn","Slovenia","svn",62734800
"eu","Europe","euswe","Sweden","swe",358295400
"eu","Europe","euukr","Ukraine","ukr",50531841
"na","North America","naatg","Antigua and Barbuda","atg",2199533
"na","North America","nabhs","Bahamas","bhs",4568681
"na","North America","nablz","Belize","blz",332605
"na","North America","nabmu","Bermuda","bmu",395349
"na","North America","nabrb","Barbados","brb",4041530
"na","North America","nacan","Canada","can",1760939768
"na","North America","nacri","Costa Rica","cri",8168879
"na","North America","nacub","Cuba","cub",2647811
"na","North America","nacuw","Curaçao","cuw",898447
"na","North America","nacym","Cayman Islands","cym",199648
"na","North America","nadma","Dominica","dma",130124
"na","North America","nadom","Dominican Republic","dom",14270225
"na","North America","nagrd","Grenada","grd",74589
"na","North America","nagrl","Greenland","grl",297633
"na","North America","nagtm","Guatemala","gtm",12606567
"na","North America","nahnd","Honduras","hnd",1449276
"na","North America","nahti","Haiti","hti",524418
"na","North America","najam","Jamaica","jam",12241830
"na","North America","nakna","Saint Kitts and Nevis","kna",515434
"na","North America","nalca","Saint Lucia","lca",1638762
"na","North America","namex","Mexico","mex",476589865
"na","North America","namsr","Montserrat","msr",52.00000000000001
"na","North America","nanic","Nicaragua","nic",2612283
"na","North America","napan","Panama","pan",56074538
"na","North America","naslv","El Salvador","slv",26572258
"na","North America","natca","Turks and Caicos Islands","tca",9834
"na","North America","natto","Trinidad and Tobago","tto",20447440
"na","North America","nausa","United States","usa",8513730246
"na","North America","navct","Saint Vincent and the Grenadines","vct",1186015
"na","North America","navgb","British Virgin Islands","vgb",109275
"oc","Oceania","ocasm","American Samoa","asm",3988324
"oc","Oceania","occok","Cook Islands","cok",5082780
"oc","Oceania","ocfji","Fiji","fji",362649858
"oc","Oceania","ocfsm","Micronesia","fsm",13738952
"oc","Oceania","ocgum","Guam","gum",12607239
"oc","Oceania","ockir","Kiribati","kir",26059038
"oc","Oceania","ocmhl","Marshall Islands","mhl",2586304
"oc","Oceania","ocmnp","Northern Mariana Islands","mnp",1947606
"oc","Oceania","ocncl","New Caledonia","ncl",279813138
"oc","Oceania","ocnfk","Norfolk Island","nfk",3433893
"oc","Oceania","ocniu","Niue","niu",394456
"oc","Oceania","ocnru","Nauru","nru",105053289
"oc","Oceania","ocnzl","New Zealand","nzl",6246694589
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",1009151
"oc","Oceania","ocplw","Palau","plw",1218459
"oc","Oceania","ocpng","Papua New Guinea","png",2117430586
"oc","Oceania","ocpyf","French Polynesia","pyf",54460592
"oc","Oceania","ocslb","Solomon Islands","slb",132845144
"oc","Oceania","octon","Tonga","ton",11203110
"oc","Oceania","octuv","Tuvalu","tuv",991745
"oc","Oceania","ocvut","Vanuatu","vut",42323930
"oc","Oceania","ocwlf","Wallis and Futuna","wlf",3082344
"oc","Oceania","ocwsm","Samoa","wsm",26052062
"sa","South America","saarg","Argentina","arg",195972063
"sa","South America","sabol","Bolivia","bol",5324506
"sa","South America","sabra","Brazil","bra",1091058883
"sa","South America","sachl","Chile","chl",389431013
"sa","South America","sacol","Colombia","col",73064927
"sa","South America","saecu","Ecuador","ecu",22660639
"sa","South America","saflk","Falkland Islands","flk",62033
"sa","South America","saguy","Guyana","guy",2624485
"sa","South America","saper","Peru","per",128232858
"sa","South America","sapry","Paraguay","pry",3641667
"sa","South America","sasur","Suriname","sur",4699785
"sa","South America","saury","Uruguay","ury",21194676
"sa","South America","saven","Venezuela","ven",13535601
