"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",18147501
"af","Africa","afbdi","Burundi","bdi",525083
"af","Africa","afben","Benin","ben",5430
"af","Africa","afbfa","Burkina Faso","bfa",77831
"af","Africa","afbwa","Botswana","bwa",6222189
"af","Africa","afcaf","Central African Republic","caf",140827
"af","Africa","afciv","Cote d'Ivoire","civ",14153124.000000002
"af","Africa","afcmr","Cameroon","cmr",659801
"af","Africa","afcod","Democratic Republic of the Congo","cod",648543
"af","Africa","afcog","Republic of the Congo","cog",85936976
"af","Africa","afcom","Comoros","com",39708
"af","Africa","afcpv","Cape Verde","cpv",192493.00000000003
"af","Africa","afdji","Djibouti","dji",824301
"af","Africa","afdza","Algeria","dza",2229769
"af","Africa","afegy","Egypt","egy",38334718
"af","Africa","aferi","Eritrea","eri",155612
"af","Africa","afeth","Ethiopia","eth",20220941
"af","Africa","afgab","Gabon","gab",404575178
"af","Africa","afgha","Ghana","gha",7142605
"af","Africa","afgin","Guinea","gin",237069
"af","Africa","afgmb","Gambia","gmb",1888.0000000000002
"af","Africa","afgnb","Guinea-Bissau","gnb",1107.9999999999998
"af","Africa","afgnq","Equatorial Guinea","gnq",32112189
"af","Africa","afken","Kenya","ken",26755871
"af","Africa","aflbr","Liberia","lbr",16424
"af","Africa","aflby","Libya","lby",790.9999999999999
"af","Africa","aflso","Lesotho","lso",797567
"af","Africa","afmar","Morocco","mar",30130453
"af","Africa","afmdg","Madagascar","mdg",4647592
"af","Africa","afmli","Mali","mli",4121368
"af","Africa","afmoz","Mozambique","moz",2803003
"af","Africa","afmrt","Mauritania","mrt",56281
"af","Africa","afmus","Mauritius","mus",17841164
"af","Africa","afmwi","Malawi","mwi",2100351
"af","Africa","afnam","Namibia","nam",8027702
"af","Africa","afner","Niger","ner",1216545
"af","Africa","afnga","Nigeria","nga",46310221
"af","Africa","afrwa","Rwanda","rwa",1365965
"af","Africa","afsdn","Sudan","sdn",1229950
"af","Africa","afsen","Senegal","sen",1005547
"af","Africa","afshn","Saint Helena","shn",706560.9999999999
"af","Africa","afsle","Sierra Leone","sle",1744717
"af","Africa","afsom","Somalia","som",13294
"af","Africa","afssd","South Sudan","ssd",2357
"af","Africa","afstp","Sao Tome and Principe","stp",135151
"af","Africa","afswz","Eswatini","swz",1807426
"af","Africa","afsyc","Seychelles","syc",3181915
"af","Africa","aftcd","Chad","tcd",92443
"af","Africa","aftgo","Togo","tgo",17781877
"af","Africa","aftun","Tunisia","tun",20078482
"af","Africa","aftza","Tanzania","tza",7673179
"af","Africa","afuga","Uganda","uga",1691061
"af","Africa","afzaf","South Africa","zaf",916049206
"af","Africa","afzmb","Zambia","zmb",211391922
"af","Africa","afzwe","Zimbabwe","zwe",775426
"as","Asia","asafg","Afghanistan","afg",1000877.9999999999
"as","Asia","asare","United Arab Emirates","are",1646727174.9999998
"as","Asia","asarm","Armenia","arm",362673
"as","Asia","asaze","Azerbaijan","aze",615113
"as","Asia","asbgd","Bangladesh","bgd",649261402
"as","Asia","asbhr","Bahrain","bhr",32235234
"as","Asia","asbrn","Brunei","brn",288903831
"as","Asia","asbtn","Bhutan","btn",304672
"as","Asia","ascck","Cocos (Keeling) Islands","cck",71469
"as","Asia","aschn","China","chn",44041467487
"as","Asia","ascxr","Christmas Island","cxr",936266.0000000001
"as","Asia","ascyp","Cyprus","cyp",19191206
"as","Asia","asgeo","Georgia","geo",3176361
"as","Asia","ashkg","Hong Kong","hkg",1163323104
"as","Asia","asidn","Indonesia","idn",4500886500
"as","Asia","asind","India","ind",3499003765
"as","Asia","asiot","British Indian Ocean Territory","iot",6157
"as","Asia","asirn","Iran","irn",30613964
"as","Asia","asirq","Iraq","irq",64799
"as","Asia","asisr","Israel","isr",609822270
"as","Asia","asjor","Jordan","jor",29153023
"as","Asia","asjpn","Japan","jpn",14120204053
"as","Asia","askaz","Kazakhstan","kaz",8013351
"as","Asia","askgz","Kyrgyzstan","kgz",76091
"as","Asia","askhm","Cambodia","khm",176165340
"as","Asia","askor","South Korea","kor",11424099209
"as","Asia","askwt","Kuwait","kwt",9779262
"as","Asia","aslao","Laos","lao",3264583
"as","Asia","aslbn","Lebanon","lbn",13965244
"as","Asia","aslka","Sri Lanka","lka",164259540
"as","Asia","asmac","Macau","mac",14731811
"as","Asia","asmdv","Maldives","mdv",539526
"as","Asia","asmmr","Burma","mmr",35694106
"as","Asia","asmng","Mongolia","mng",10030934
"as","Asia","asmys","Malaysia","mys",7679941160
"as","Asia","asnpl","Nepal","npl",6859077
"as","Asia","asomn","Oman","omn",60156129
"as","Asia","aspak","Pakistan","pak",226606198
"as","Asia","asphl","Philippines","phl",626664396
"as","Asia","aspse","Palestine","pse",33926
"as","Asia","asqat","Qatar","qat",332875343
"as","Asia","assau","Saudi Arabia","sau",414585605
"as","Asia","assgp","Singapore","sgp",7314474216
"as","Asia","assyr","Syria","syr",1110766
"as","Asia","astha","Thailand","tha",10192371614
"as","Asia","astjk","Tajikistan","tjk",5107
"as","Asia","astkm","Turkmenistan","tkm",926471
"as","Asia","astls","Timor-Leste","tls",975063
"as","Asia","astur","Turkey","tur",590219377
"as","Asia","asuzb","Uzbekistan","uzb",1114427
"as","Asia","asvnm","Vietnam","vnm",3182957937
"as","Asia","asxxb","Chinese Taipei",,3441659793
"as","Asia","asyem","Yemen","yem",150925
"eu","Europe","eualb","Albania","alb",696188
"eu","Europe","euand","Andorra","and",39832
"eu","Europe","euaut","Austria","aut",845844346
"eu","Europe","eubel","Belgium","bel",1281073343
"eu","Europe","eubgr","Bulgaria","bgr",40084421
"eu","Europe","eubih","Bosnia and Herzegovina","bih",6159208
"eu","Europe","eublr","Belarus","blr",3716103
"eu","Europe","euche","Switzerland","che",2518634984
"eu","Europe","eucze","Czechia","cze",551291576
"eu","Europe","eudeu","Germany","deu",9130153108
"eu","Europe","eudnk","Denmark","dnk",884949603
"eu","Europe","euesp","Spain","esp",1674719763
"eu","Europe","euest","Estonia","est",46772355
"eu","Europe","eufin","Finland","fin",498447473
"eu","Europe","eufra","France","fra",2767088863
"eu","Europe","eugbr","United Kingdom","gbr",5575965313
"eu","Europe","eugib","Gibraltar","gib",18676
"eu","Europe","eugrc","Greece","grc",158411635
"eu","Europe","euhrv","Croatia","hrv",24173487
"eu","Europe","euhun","Hungary","hun",439388540
"eu","Europe","euirl","Ireland","irl",1563263168
"eu","Europe","euisl","Iceland","isl",19824552
"eu","Europe","euita","Italy","ita",4050366449
"eu","Europe","eultu","Lithuania","ltu",36539641
"eu","Europe","eulux","Luxembourg","lux",27863445
"eu","Europe","eulva","Latvia","lva",22252870
"eu","Europe","eumda","Moldova","mda",1135989
"eu","Europe","eumkd","North Macedonia","mkd",6570440
"eu","Europe","eumlt","Malta","mlt",16162566
"eu","Europe","eumne","Montenegro","mne",542402
"eu","Europe","eunld","Netherlands","nld",1865966119
"eu","Europe","eunor","Norway","nor",303688391
"eu","Europe","eupol","Poland","pol",636121831
"eu","Europe","euprt","Portugal","prt",137673868
"eu","Europe","eurou","Romania","rou",84715508
"eu","Europe","eurus","Russia","rus",246846329
"eu","Europe","eusrb","Serbia","srb",12529559
"eu","Europe","eusvk","Slovakia","svk",324441200
"eu","Europe","eusvn","Slovenia","svn",89115588
"eu","Europe","euswe","Sweden","swe",1409306638
"eu","Europe","euukr","Ukraine","ukr",16389598
"na","North America","naaia","Anguilla","aia",98140
"na","North America","naatg","Antigua and Barbuda","atg",1324101.0000000002
"na","North America","nabhs","Bahamas","bhs",13146524
"na","North America","nablz","Belize","blz",1433856
"na","North America","nabmu","Bermuda","bmu",1570337
"na","North America","nabrb","Barbados","brb",178108
"na","North America","nacan","Canada","can",1553012050
"na","North America","nacri","Costa Rica","cri",51457425
"na","North America","nacub","Cuba","cub",9279939
"na","North America","nacuw","Curaçao","cuw",527902
"na","North America","nacym","Cayman Islands","cym",7924279
"na","North America","nadma","Dominica","dma",257406
"na","North America","nadom","Dominican Republic","dom",25203108
"na","North America","nagrd","Grenada","grd",64272
"na","North America","nagtm","Guatemala","gtm",22064290
"na","North America","nahnd","Honduras","hnd",34369184
"na","North America","nahti","Haiti","hti",1672102
"na","North America","najam","Jamaica","jam",774720
"na","North America","nakna","Saint Kitts and Nevis","kna",29776
"na","North America","nalca","Saint Lucia","lca",121763
"na","North America","namex","Mexico","mex",1626222899
"na","North America","namsr","Montserrat","msr",50271
"na","North America","nanic","Nicaragua","nic",12870550
"na","North America","napan","Panama","pan",7641097
"na","North America","naslv","El Salvador","slv",20250821
"na","North America","natca","Turks and Caicos Islands","tca",16729
"na","North America","natto","Trinidad and Tobago","tto",8315740
"na","North America","nausa","United States","usa",22748453442
"na","North America","navct","Saint Vincent and the Grenadines","vct",4080
"na","North America","navgb","British Virgin Islands","vgb",7406696
"oc","Oceania","ocasm","American Samoa","asm",10654620.000000002
"oc","Oceania","occok","Cook Islands","cok",883115.0000000001
"oc","Oceania","ocfji","Fiji","fji",164989599
"oc","Oceania","ocfsm","Micronesia","fsm",21827
"oc","Oceania","ocgum","Guam","gum",2474248
"oc","Oceania","ockir","Kiribati","kir",639578
"oc","Oceania","ocmhl","Marshall Islands","mhl",355479
"oc","Oceania","ocmnp","Northern Mariana Islands","mnp",3264.0000000000005
"oc","Oceania","ocncl","New Caledonia","ncl",112626092
"oc","Oceania","ocnfk","Norfolk Island","nfk",53898
"oc","Oceania","ocniu","Niue","niu",8918
"oc","Oceania","ocnru","Nauru","nru",9468263
"oc","Oceania","ocnzl","New Zealand","nzl",5802307363
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",588135
"oc","Oceania","ocplw","Palau","plw",32385
"oc","Oceania","ocpng","Papua New Guinea","png",2213936882
"oc","Oceania","ocpyf","French Polynesia","pyf",2347946
"oc","Oceania","ocslb","Solomon Islands","slb",9105396
"oc","Oceania","octon","Tonga","ton",1026452
"oc","Oceania","octuv","Tuvalu","tuv",392589
"oc","Oceania","ocvut","Vanuatu","vut",1778260
"oc","Oceania","ocwsm","Samoa","wsm",30205643
"sa","South America","saarg","Argentina","arg",630511912
"sa","South America","sabol","Bolivia","bol",90570191
"sa","South America","sabra","Brazil","bra",434902939
"sa","South America","sachl","Chile","chl",475927464
"sa","South America","sacol","Colombia","col",56167296
"sa","South America","saecu","Ecuador","ecu",26960554
"sa","South America","saflk","Falkland Islands","flk",67433
"sa","South America","saguy","Guyana","guy",234923
"sa","South America","saper","Peru","per",106105666
"sa","South America","sapry","Paraguay","pry",2565234
"sa","South America","sasur","Suriname","sur",344243
"sa","South America","saury","Uruguay","ury",4233043
"sa","South America","saven","Venezuela","ven",1730748
