Section,TradeValue,Year
Machines,57565426650,2012
Transportation,38969296224,2012
Mineral Products,38342007747,2012
Chemical Products,20424569157,2012
Metals,14071636293,2012
Plastics and Rubbers,9572240139,2012
Textiles,8654552695,2012
Precious Metals,8443799544,2012
Instruments,7948653919,2012
Foodstuffs,7932573227,2012
Others,22996904756,2012
