"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",28766449
"af","Africa","afbdi","Burundi","bdi",297337
"af","Africa","afben","Benin","ben",2901050
"af","Africa","afbfa","Burkina Faso","bfa",30521571
"af","Africa","afbwa","Botswana","bwa",2981362
"af","Africa","afcaf","Central African Republic","caf",377197
"af","Africa","afciv","Cote d'Ivoire","civ",49611761
"af","Africa","afcmr","Cameroon","cmr",6685132
"af","Africa","afcod","Democratic Republic of the Congo","cod",40758382
"af","Africa","afcog","Republic of the Congo","cog",1154606
"af","Africa","afcom","Comoros","com",7878
"af","Africa","afcpv","Cape Verde","cpv",32964
"af","Africa","afdji","Djibouti","dji",3177369
"af","Africa","afdza","Algeria","dza",52950923
"af","Africa","afegy","Egypt","egy",441751667
"af","Africa","aferi","Eritrea","eri",1798956.0000000002
"af","Africa","afeth","Ethiopia","eth",19522320
"af","Africa","afgab","Gabon","gab",1435091
"af","Africa","afgha","Ghana","gha",115296348
"af","Africa","afgin","Guinea","gin",5684796
"af","Africa","afgmb","Gambia","gmb",41937
"af","Africa","afgnq","Equatorial Guinea","gnq",312762
"af","Africa","afken","Kenya","ken",88979207
"af","Africa","aflbr","Liberia","lbr",845202
"af","Africa","aflby","Libya","lby",730272
"af","Africa","aflso","Lesotho","lso",46825
"af","Africa","afmar","Morocco","mar",43836119
"af","Africa","afmdg","Madagascar","mdg",15002197
"af","Africa","afmli","Mali","mli",21447908
"af","Africa","afmoz","Mozambique","moz",438457274
"af","Africa","afmrt","Mauritania","mrt",12628072
"af","Africa","afmus","Mauritius","mus",110436352
"af","Africa","afmwi","Malawi","mwi",13586514
"af","Africa","afnam","Namibia","nam",18061808
"af","Africa","afner","Niger","ner",3691852
"af","Africa","afnga","Nigeria","nga",171322405
"af","Africa","afrwa","Rwanda","rwa",2161392
"af","Africa","afsdn","Sudan","sdn",18377978
"af","Africa","afsen","Senegal","sen",37356996
"af","Africa","afshn","Saint Helena","shn",541619
"af","Africa","afsle","Sierra Leone","sle",3374014
"af","Africa","afsom","Somalia","som",1069411
"af","Africa","afssd","South Sudan","ssd",185498
"af","Africa","afstp","Sao Tome and Principe","stp",191471
"af","Africa","afswz","Eswatini","swz",870313
"af","Africa","afsyc","Seychelles","syc",14648174
"af","Africa","aftcd","Chad","tcd",94996
"af","Africa","aftgo","Togo","tgo",4119112
"af","Africa","aftun","Tunisia","tun",10734280
"af","Africa","aftza","Tanzania","tza",66255343
"af","Africa","afuga","Uganda","uga",17329726
"af","Africa","afzaf","South Africa","zaf",1161756280
"af","Africa","afzmb","Zambia","zmb",43188639
"af","Africa","afzwe","Zimbabwe","zwe",2153236
"as","Asia","asafg","Afghanistan","afg",8145404
