"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afago","Angola","ago",142424
"af","Africa","afbdi","Burundi","bdi",520764
"af","Africa","afben","Benin","ben",974190
"af","Africa","afbfa","Burkina Faso","bfa",171224
"af","Africa","afbwa","Botswana","bwa",883919
"af","Africa","afcaf","Central African Republic","caf",116139
"af","Africa","afciv","Cote d'Ivoire","civ",152205710
"af","Africa","afcmr","Cameroon","cmr",962229
"af","Africa","afcod","Democratic Republic of the Congo","cod",1358774.0000000002
"af","Africa","afcog","Republic of the Congo","cog",37829938
"af","Africa","afcom","Comoros","com",53158
"af","Africa","afcpv","Cape Verde","cpv",26347
"af","Africa","afdji","Djibouti","dji",355811
"af","Africa","afdza","Algeria","dza",102072813.00000001
"af","Africa","afegy","Egypt","egy",243390734
"af","Africa","aferi","Eritrea","eri",4533
"af","Africa","afeth","Ethiopia","eth",16658852
"af","Africa","afgab","Gabon","gab",131250617
"af","Africa","afgha","Ghana","gha",188302838
"af","Africa","afgin","Guinea","gin",93248
"af","Africa","afgmb","Gambia","gmb",52880
"af","Africa","afken","Kenya","ken",23850099
"af","Africa","aflbr","Liberia","lbr",13425.000000000002
"af","Africa","aflby","Libya","lby",32207049
"af","Africa","aflso","Lesotho","lso",760614
"af","Africa","afmar","Morocco","mar",57705147
"af","Africa","afmdg","Madagascar","mdg",10708061
"af","Africa","afmli","Mali","mli",283662717
"af","Africa","afmoz","Mozambique","moz",22799259
"af","Africa","afmrt","Mauritania","mrt",93196240.00000001
"af","Africa","afmus","Mauritius","mus",11266765
"af","Africa","afmwi","Malawi","mwi",294006
"af","Africa","afnam","Namibia","nam",7514628
"af","Africa","afner","Niger","ner",1298915
"af","Africa","afnga","Nigeria","nga",188444017.00000003
"af","Africa","afrwa","Rwanda","rwa",800806
"af","Africa","afsdn","Sudan","sdn",71887
"af","Africa","afsen","Senegal","sen",206551062
"af","Africa","afshn","Saint Helena","shn",654540
"af","Africa","afsle","Sierra Leone","sle",1632865
"af","Africa","afsom","Somalia","som",110275
"af","Africa","afssd","South Sudan","ssd",32450
"af","Africa","afstp","Sao Tome and Principe","stp",10748
"af","Africa","afswz","Eswatini","swz",513342
"af","Africa","afsyc","Seychelles","syc",4610975
"af","Africa","aftcd","Chad","tcd",304289.00000000006
"af","Africa","aftgo","Togo","tgo",9360591
"af","Africa","aftun","Tunisia","tun",25641523
"af","Africa","aftza","Tanzania","tza",5562199
"af","Africa","afuga","Uganda","uga",2682067
"af","Africa","afzaf","South Africa","zaf",768483596
"af","Africa","afzmb","Zambia","zmb",8643077
"af","Africa","afzwe","Zimbabwe","zwe",416611
"an","Antarctica","anatf","French South Antarctic Territory","atf",2329
"as","Asia","asafg","Afghanistan","afg",1017954
"as","Asia","asare","United Arab Emirates","are",1497668000
"as","Asia","asarm","Armenia","arm",1110581
"as","Asia","asaze","Azerbaijan","aze",73088515
"as","Asia","asbgd","Bangladesh","bgd",753211886
"as","Asia","asbhr","Bahrain","bhr",89413986
"as","Asia","asbrn","Brunei","brn",821979240
"as","Asia","asbtn","Bhutan","btn",991
"as","Asia","ascck","Cocos (Keeling) Islands","cck",642292
"as","Asia","aschn","China","chn",57281856527
"as","Asia","ascxr","Christmas Island","cxr",12893
"as","Asia","ascyp","Cyprus","cyp",29733870.000000004
"as","Asia","asgeo","Georgia","geo",10627189
"as","Asia","ashkg","Hong Kong","hkg",934652895
"as","Asia","asidn","Indonesia","idn",3047069323
"as","Asia","asind","India","ind",3701867509
"as","Asia","asirn","Iran","irn",18296354
"as","Asia","asirq","Iraq","irq",147014
"as","Asia","asisr","Israel","isr",572332773
"as","Asia","asjor","Jordan","jor",39325721
"as","Asia","asjpn","Japan","jpn",12241256226
"as","Asia","askaz","Kazakhstan","kaz",13233032
"as","Asia","askgz","Kyrgyzstan","kgz",353270
"as","Asia","askhm","Cambodia","khm",224750821
"as","Asia","askor","South Korea","kor",6375533997
"as","Asia","askwt","Kuwait","kwt",1493983
"as","Asia","aslao","Laos","lao",170752643
"as","Asia","aslbn","Lebanon","lbn",21822975
"as","Asia","aslka","Sri Lanka","lka",191001477
"as","Asia","asmac","Macau","mac",54244308
"as","Asia","asmdv","Maldives","mdv",1693534
"as","Asia","asmmr","Burma","mmr",46853333
"as","Asia","asmng","Mongolia","mng",1350405
"as","Asia","asmys","Malaysia","mys",6387333909
"as","Asia","asnpl","Nepal","npl",8043892
"as","Asia","asomn","Oman","omn",40211942
"as","Asia","aspak","Pakistan","pak",262065819
"as","Asia","asphl","Philippines","phl",435445536
"as","Asia","aspse","Palestine","pse",435081.00000000006
"as","Asia","asqat","Qatar","qat",179660193
"as","Asia","assau","Saudi Arabia","sau",816167019
"as","Asia","assgp","Singapore","sgp",6240202763.000001
"as","Asia","assyr","Syria","syr",1463087
"as","Asia","astha","Thailand","tha",10352254435
"as","Asia","astjk","Tajikistan","tjk",10082
"as","Asia","astls","Timor-Leste","tls",678008
"as","Asia","astur","Turkey","tur",770926406
"as","Asia","asuzb","Uzbekistan","uzb",113596
"as","Asia","asvnm","Vietnam","vnm",4067243279
